sdm,target,layer,r2_test
sdm-xlsr-fairseq,sdm-emotion2vec,19,-0.8036675453186035
sdm-xlsr-fairseq,sdm-emotion2vec,20,-0.849651038646698
sdm-xlsr-fairseq,sdm-emotion2vec,21,-0.9552769660949707
sdm-xlsr-fairseq,sdm-emotion2vec,22,-1.1061066389083862
sdm-xlsr-fairseq,sdm-emotion2vec,23,-1.2403428554534912
sdm-xlsr-fairseq,sdm-emotion2vec,24,0.0957149863243103
sdm-dvector,sdm-xlsr-fairseq,0,-0.008619769476354122
sdm-dvector,sdm-xlsr-fairseq,1,-0.18385227024555206
sdm-dvector,sdm-xlsr-fairseq,2,-0.205097958445549
sdm-dvector,sdm-xlsr-fairseq,3,-0.25775906443595886
sdm-dvector,sdm-xlsr-fairseq,4,-0.30395394563674927
sdm-dvector,sdm-xlsr-fairseq,5,-0.35720106959342957
sdm-dvector,sdm-xlsr-fairseq,6,-0.31091317534446716
sdm-dvector,sdm-xlsr-fairseq,7,-0.23837821185588837
sdm-dvector,sdm-xlsr-fairseq,8,-0.18882697820663452
sdm-dvector,sdm-xlsr-fairseq,9,-0.16529183089733124
sdm-dvector,sdm-xlsr-fairseq,10,-0.12060707807540894
sdm-dvector,sdm-xlsr-fairseq,11,-0.08197402954101562
sdm-dvector,sdm-xlsr-fairseq,12,-0.1070091500878334
sdm-dvector,sdm-xlsr-fairseq,13,-0.07417129725217819
sdm-dvector,sdm-xlsr-fairseq,14,-0.0962989404797554
sdm-dvector,sdm-xlsr-fairseq,15,-0.09439412504434586
sdm-dvector,sdm-xlsr-fairseq,16,-0.1225665807723999
sdm-dvector,sdm-xlsr-fairseq,17,-0.14417235553264618
sdm-dvector,sdm-xlsr-fairseq,18,-0.218467116355896
sdm-dvector,sdm-xlsr-fairseq,19,-0.2951003909111023
sdm-dvector,sdm-xlsr-fairseq,20,-0.3508114814758301
sdm-dvector,sdm-xlsr-fairseq,21,-0.4231790602207184
sdm-dvector,sdm-xlsr-fairseq,22,-0.5354538559913635
sdm-dvector,sdm-xlsr-fairseq,23,-0.6806392073631287
sdm-dvector,sdm-xlsr-fairseq,24,0.19918958842754364
sdm-dvector,sdm-dvector,0,0.44374799728393555
sdm-dvector,sdm-dvector,1,0.41657453775405884
sdm-dvector,sdm-dvector,2,0.3953808546066284
sdm-dvector,sdm-dvector,3,0.37442547082901
sdm-dvector,sdm-dvector,4,0.2880292534828186
sdm-dvector,sdm-dvector,5,0.15385399758815765
sdm-dvector,sdm-dvector,6,0.10361045598983765
sdm-dvector,sdm-dvector,7,0.06847637891769409
sdm-dvector,sdm-dvector,8,-0.006543885916471481
sdm-dvector,sdm-dvector,9,-0.04100453853607178
sdm-dvector,sdm-dvector,10,-0.05196298658847809
sdm-dvector,sdm-dvector,11,-0.08797462284564972
sdm-dvector,sdm-dvector,12,-0.15538111329078674
sdm-dvector,sdm-dvector,13,-0.18266630172729492
sdm-dvector,sdm-dvector,14,-0.16448195278644562
sdm-dvector,sdm-dvector,15,-0.18774060904979706
sdm-dvector,sdm-dvector,16,-0.23130634427070618
sdm-dvector,sdm-dvector,17,-0.21219956874847412
sdm-dvector,sdm-dvector,18,-0.18157628178596497
sdm-dvector,sdm-dvector,19,-0.19706201553344727
sdm-dvector,sdm-dvector,20,-0.19418522715568542
sdm-dvector,sdm-dvector,21,-0.2719874680042267
sdm-dvector,sdm-dvector,22,-0.3564029932022095
sdm-dvector,sdm-dvector,23,-0.4624122381210327
sdm-dvector,sdm-dvector,24,0.2891146242618561
sdm-dvector,sdm-mpm,0,0.13070237636566162
sdm-dvector,sdm-mpm,1,-0.10705618560314178
sdm-dvector,sdm-mpm,2,-0.13324984908103943
sdm-dvector,sdm-mpm,3,-0.20387065410614014
sdm-dvector,sdm-mpm,4,-0.29439777135849
sdm-dvector,sdm-mpm,5,-0.3739151954650879
sdm-dvector,sdm-mpm,6,-0.38498055934906006
sdm-dvector,sdm-mpm,7,-0.3570719361305237
sdm-dvector,sdm-mpm,8,-0.4410456418991089
sdm-dvector,sdm-mpm,9,-0.4540582299232483
sdm-dvector,sdm-mpm,10,-0.4223529100418091
sdm-dvector,sdm-mpm,11,-0.43874192237854004
sdm-dvector,sdm-mpm,12,-0.5112811923027039
sdm-dvector,sdm-mpm,13,-0.5369153022766113
sdm-dvector,sdm-mpm,14,-0.5372742414474487
sdm-dvector,sdm-mpm,15,-0.5660532712936401
sdm-dvector,sdm-mpm,16,-0.5851657390594482
sdm-dvector,sdm-mpm,17,-0.5973987579345703
sdm-dvector,sdm-mpm,18,-0.6118441224098206
sdm-dvector,sdm-mpm,19,-0.6728000640869141
sdm-dvector,sdm-mpm,20,-0.6991517543792725
sdm-dvector,sdm-mpm,21,-0.7751743793487549
